hotel type;hotels;kamers;bedden;gasten  (x 1.000);overnachtingen  (x 1.000);gemidd. bedbezetting (%);gemidd. verblijfsduur;jaar
;;;;;;;;
;;;;;;;;
5 sterren;10;2202;4361;630;927;51;1.47;2007
4 sterren;43;6653;13144;1447;2335;61;1.61;2007
3 sterren;88;6208;12910;1576;2974;69;1.89;2007
overige;210;4337;11328;1211;2608;65;2.15;2007
totaal;351;19400;41743;4864;8844;63;1.82;2007
;;;;;;;;
5 sterren;12;2822;5633;534;786;44;1.47;2008
4 sterren;41;6386;13000;1317;2176;59;1.65;2008
3 sterren;90;6013;12561;1448;2752;65;1.90;2008
overige;214;4535;11952;1228;2596;60;2.11;2008
totaal;357;19756;43146;4527;8310;59;1.84;2008
;;;;;;;;
5 sterren;12;2809;5796;645;984;47;1.53;2009
4 sterren;44;7000;14254;1451;2481;57;1.71;2009
3 sterren;95;6402;13164;1404;2765;61;1.97;2009
overige;218;4721;12700;1127;2330;58;2.07;2009
totaal;369;20932;45914;4628;8561;57;1.85;2009
;;;;;;;;
5 sterren;11;2574;5339;623;946;53;1.52;2010
4 sterren;49;7708;15704;1774;3063;60;1.73;2010
3 sterren;93;6708;13809;1607;3016;61;1.88;2010
overige;217;4758;12840;1279;2699;66;2.11;2010
totaal;370;21748;47692;5283;9725;61;1.84;2010
; ;;;;;;;
5 sterren;12;2983;6147;744;1122;60;1.51;2011
4 sterren;52;7996;16298;1953;3337;60;1.71;2011
3 sterren;97;6542;13411;1498;2894;64;1.93;2011
overige;214;4648;12509;1126;2395;63;2.13;2011
totaal;375;22169;48365;5321;9748;62;1.83;2011
;;;;;;;;
5 sterren;13;3111;6389;747;1187;51;1.59;2012
4 sterren;54;8690;17326;2146;3633;59;1.69;2012
3 sterren;105;7372;14774;1459;2802;62;1.92;2012
overige;226;5043;13695;1380;2959;58;2.14;2012
totaal;398;24216;52184;5733;10581;59;1.85;2012
; ;;;;;;;
5 sterren;14;3237;6645;791;1275;52;1.61;2013
4 sterren;63;9810;19469;2389;4037;58;1.69;2013
3 sterren;109;7521;15471;1611;3232;61;2.01;2013
overige;227;4804;13272;1233;2718;53;2.20;2013
totaal;413;25372;54857;6024;11262;57;1.87;2013
; ;;;;;;;
5 sterren;14;3248;6762;767;1221;50;1.59;2014
4 sterren;68;10372;20603;2600;4446;61;1.71;2014
3 sterren;114;8100;16881;1717;3483;62;2.03;2014
overige;225;4567;12472;1586;3388;59;2.14;2014
totaal;421;26287;56718;6670;12538;60;1.88;2014
;;;;;;;;
5 sterren;16;3580;7482;740;1203;51;1.62;2015
4 sterren;77;11351;22779;2726;4656;62;1.71;2015
3 sterren;120;8996;18614;1712;3467;64;2.03;2015
overige;223;5165;14790;1648;3574;56;2.17;2015
totaal;436;29092;63665;6826;12899;59;1.89;2015
;;;;;;;;
5 sterren;16;3558;7467;650;1086;45;1.67;2016
4 sterren;83;11998;23878;2550;4528;61;1.78;2016
3 sterren;123;9524;19715;1748;3455;65;1.98;2016
overige;237;5636;16180;2323;4915;58;2.12;2016
totaal;459;30716;67240;7270;13983;59;1.92;2016
;;;;;;;;
5 sterren;16;3558;7466;1009;1647;55;1.63;2017
4 sterren;90;12654;25206;3513;6456;63;1.84;2017
3 sterren;131;10429;21956;2342;4704;65;2.01;2017
overige;242;5961;17251;1396;3051;65;2.19;2017
totaal;479;32602;71879;8260;15858;63;1.92;2017
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
