"Welzijn in relatie met gezondheid en leefstijl; kenmerken gezondheid"
"Kenmerken gezondheid en leefstijl: Sportfrequentie: minder dan 1 x per week"
"Cijfersoort: Waarde"
"";"";"Perioden"
"Onderwerp";"";"2013";"2014";"2015";"2016";"2017";"2018"
"||||Ontevreden";"%";"13,6";"13,4";"15,4";"14,1";"15,3";"13,6"
"||Niet tevreden, niet ontevreden";"%";"23,6";"24,8";"24,2";"24,8";"23,8";"24,7"
"||Tevreden";"%";"62,8";"61,8";"60,4";"61,2";"60,9";"61,7"
"|||Score tevredenheid psychische gezondheid";"schaalscore";"7,7";"7,6";"7,6";"7,6";"7,5";"7,5"
"||Ontevreden";"%";"6,2";"5,4";"7,3";"5,9";"7,4";"6,9"
"||Niet tevreden, niet ontevreden";"%";"12,3";"13,3";"13,4";"13,3";"13,9";"14,8"
"||Tevreden";"%";"81,5";"81,3";"79,3";"80,8";"78,7";"78,2"
"|||Score tevredenheid met gewicht";"schaalscore";"6,7";"6,7";"6,7";"6,7";"6,7";"6,7"
"||Ontevreden";"%";"14,3";"14,1";"15,5";"14,4";"14,1";"14,3"
"||Niet tevreden, niet ontevreden";"%";"24,1";"25,1";"22,6";"24,0";"26,4";"24,7"
"||Tevreden";"%";"61,6";"60,7";"61,9";"61,7";"59,5";"61,1"
"Bron: CBS"
