"Welzijn in relatie met gezondheid en leefstijl; kenmerken gezondheid"
"Kenmerken gezondheid en leefstijl: Sportfrequentie: dagelijks sporten"
"Cijfersoort: Waarde"
"";"";"Perioden"
"Onderwerp";"";"2013";"2014";"2015";"2016";"2017";"2018"
"||||Ontevreden";"%";"7,7";"7,6";"8,9";"6,3";"7,8";"7,6"
"||Niet tevreden, niet ontevreden";"%";"19,1";"14,8";"13,4";"18,4";"15,6";"16,6"
"||Tevreden";"%";"73,2";"77,5";"77,7";"75,3";"76,7";"75,8"
"|||Score tevredenheid psychische gezondheid";"schaalscore";"8,0";"8,0";"8,0";"8,0";"7,8";"7,8"
"||Ontevreden";"%";"2,7";"4,3";"3,9";"2,9";"4,3";"5,1"
"||Niet tevreden, niet ontevreden";"%";"10,0";"7,4";"8,9";"9,6";"10,6";"11,1"
"||Tevreden";"%";"87,3";"88,2";"87,2";"87,4";"85,1";"83,8"
"|||Score tevredenheid met gewicht";"schaalscore";"7,5";"7,6";"7,5";"7,4";"7,4";"7,4"
"||Ontevreden";"%";"7,5";"7,2";"8,2";"6,9";"8,1";"9,2"
"||Niet tevreden, niet ontevreden";"%";"15,9";"16,2";"15,6";"16,4";"18,5";"16,1"
"||Tevreden";"%";"76,5";"76,6";"76,1";"76,7";"73,4";"74,7"
"Bron: CBS"
