"Welzijn in relatie met gezondheid en leefstijl; kenmerken gezondheid"
"Kenmerken gezondheid en leefstijl: Totaal"
"Cijfersoort: Waarde"
"";"";"Perioden"
"Onderwerp";"";"2013";"2014";"2015";"2016";"2017";"2018"
"||||Ontevreden";"%";"9,7";"9,4";"10,9";"9,9";"10,7";"10,0"
"||Niet tevreden, niet ontevreden";"%";"19,9";"19,2";"19,9";"20,7";"19,6";"20,7"
"||Tevreden";"%";"70,5";"71,4";"69,3";"69,4";"69,8";"69,3"
"|||Ontevreden";"%";"4,7";"4,4";"5,1";"4,5";"5,0";"5,6"
"||Niet tevreden, niet ontevreden";"%";"10,4";"10,6";"11,3";"10,8";"12,0";"12,3"
"||Tevreden";"%";"85,0";"85,0";"83,6";"84,6";"83,0";"82,1"
"|||Ontevreden";"%";"11,9";"11,7";"12,6";"12,1";"12,3";"11,9"
"||Niet tevreden, niet ontevreden";"%";"22,5";"23,2";"21,8";"22,9";"23,4";"22,5"
"||Tevreden";"%";"65,6";"65,2";"65,5";"64,9";"64,3";"65,5"
"Bron: CBS"
