workoutFreq,happiness,health,value
daily,happy,physical,75.3
daily,happy,psychological,87.4
daily,happy,weight,76.7
daily,neutral,physical,18.4
daily,neutral,psychological,9.6
daily,neutral,weight,16.4
daily,unhappy,physical,6.3
daily,unhappy,psychological,2.9
daily,unhappy,weight,6.9
weekly,happy,physical,75.5
weekly,happy,psychological,87.5
weekly,happy,weight,64.9
weekly,neutral,physical,17.7
weekly,neutral,psychological,8.9
weekly,neutral,weight,23.5
weekly,unhappy,physical,6.8
weekly,unhappy,psychological,3.6
weekly,unhappy,weight,11.6
rarely,happy,physical,61.2
rarely,happy,psychological,80.8
rarely,happy,weight,61.7
rarely,neutral,physical,24.8
rarely,neutral,psychological,13.3
rarely,neutral,weight,24.0
rarely,unhappy,physical,14.1
rarely,unhappy,psychological,5.9
rarely,unhappy,weight,14.4
